SRR          CE              FP               GO              IOGA  NP  OA
SRR1945534:  SUCCESS         SUCCESS          -               -     -   -
SRR1945535:  INCOMPLETE_low  ERROR            INCOMPLETE_low  -     -   -
SRR1945536:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945538:  SUCCESS         SUCCESS          -               -     -   -
SRR1945539:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945540:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945541:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945544:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945545:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945546:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945547:  SUCCESS         INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945548:  SUCCESS         SUCCESS          -               -     -   -
SRR1945549:  SUCCESS         SUCCESS          -               -     -   -
SRR1945550:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945551:  SUCCESS         INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945553:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945554:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945555:  SUCCESS         SUCCESS          -               -     -   -
SRR1945557:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945558:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945559:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945561:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945562:  SUCCESS         SUCCESS          -               -     -   -
SRR1945563:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945564:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945565:  SUCCESS         SUCCESS          -               -     -   -
SRR1945566:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945567:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945568:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945569:  SUCCESS         SUCCESS          -               -     -   -
SRR1945570:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945572:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945573:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945574:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945576:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945577:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945578:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945580:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945582:  SUCCESS         SUCCESS          -               -     -   -
SRR1945583:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945584:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945586:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945587:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945588:  ERROR           INCOMPLETE_low   -               -     -   -
SRR1945591:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945592:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945593:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945594:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945595:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945596:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945597:  INCOMPLETE_low  ERROR            INCOMPLETE_low  -     -   -
